scientific_name,alias,source,notes
Dryophytes versicolor,Hyla versicolor,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Eleothreptus anomalus,Hydropsalis anomala,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Eleothreptus candicans,Hydropsalis candicans,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Emblema modestum,Emblema modesta,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Emblema modestum,Neochmia modesta,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Emblema ruficauda,Neochmia ruficauda,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Eopsaltria georgiana,Quoyornis georgianus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Eopsaltria placens,Poecilodryas placens,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Epidalea calamita,Bufo calamita,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Erethizon dorsatum,Erethizon dorsata,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Eumyias oscillans,Cyornis oscillans,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Eupetomena cirrochloris,Aphantochroa cirrochloris,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Formicivora serrana,Formicivora littoralis,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Forpus modestus,Forpus sclateri,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Galagoides demidoff,Galago demidoff,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Gallirallus calayanensis,Aptenorallus calayanensis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Gallirallus insignis,Hypotaenidia insignis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Gallirallus okinawae,Hypotaenidia okinawae,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Gallirallus owstoni,Hypotaenidia owstoni,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Gallirallus philippensis,Hypotaenidia philippensis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Gallirallus rovianae,Hypotaenidia rovianae,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Gallirallus sylvestris,Hypotaenidia sylvestris,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Gallirallus woodfordi,Nesoclopeus poecilopterus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Gallus lafayettii,Gallus lafayetii,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Geokichla gurneyi,Zoothera gurneyi,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Glossoptilus goldiei,Psitteuteles goldiei,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Habia rubica,Habia rubra,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Hapithus luteolira,Orocharis luteolira,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Hapithus saltator,Orocharis saltator,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Haplospiza rustica,Spodiornis rusticus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Hesperiphona abeillei,Coccothraustes abeillei,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Hesperiphona vespertina,Coccothraustes vespertinus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Heteroxolmis dominicana,Heteroxolmis dominicanus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Hoolock hoolock,Bunopithecus hoolock,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Hoploxypterus cayanus,Vanellus cayanus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Horizocerus albocristatus,Tropicranus albocristatus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Horornis acanthizoides,Cettia acanthizoides,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Hydrochoerus hydrochaeris,Hydrochoeris hydrochaeris,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Hylexetastes perrotii,Hylexetastes brigidai,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Hypocharmosyna placentis,Charmosyna placentis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Ichthyaetus ichthyaetus,Larus ichthyaetus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Icterus cayanensis,Icterus chrysocephalus,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Indosylvirana nicobariensis,Amnirana nicobariensis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Ixos leucogrammicus,Pycnonotus leucogrammicus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Lagothrix lagothricha,Lagothrix lagotricha,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Laterallus flaviventer,Hapalocrex flaviventer,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Laterallus spiloptera,Laterallus spilopterus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Leuconotopicus albolarvatus,Dryobates albolarvatus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Leuconotopicus arizonae,Dryobates arizonae,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Leuconotopicus borealis,Dryobates borealis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Leuconotopicus fumigatus,Dryobates fumigatus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Leuconotopicus stricklandi,Dryobates stricklandi,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Leuconotopicus villosus,Dryobates villosus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Leuconotopicus villosus,Picoides villosus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Lichmera indistincta,Lichmera limbata,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Lichmera lombokia,Sugomel lombokium,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
